bloco	clone	rend
B4	c5113	0.892
B4	c5114	0.944
B4	c5201	1.292
B4	c5202	0.625
B4	c5203	0.469
B4	c5204	1.569
B4	c5205	0.819
B4	c5206	1.025
B4	c5207	0.481
B4	c5208	0.592
B4	c5209	1.025
B4	c5210	1.825
B4	c5211	1.592
B4	c5212	0.225
B4	c5213	0.494
B4	c5214	1.158
B4	c5215	2.592
B4	c5216	1.494
B4	c5217	0.319
B4	c5218	0.758
B4	c5219	0.794
B4	c5220	2.663
B4	c5315	0.692
B4	c5316	1.169
B4	c5317	1.272
B4	c5318	0.725
B4	c5319	0.692
B4	c5320	0.758
B4	c5401	2.458
B4	c5403	1.458
B4	c5410	2.138
B4	c5411	1.292
B4	c5417	1.219
B5	c0101	1.992
B5	c0103	1.592
B5	c0418	1.258
B5	c0425	2.125
B5	c0605	2.838
B5	c0619	1.838
B5	c0623	2.258
B5	c0906	1.294
B5	c0918	1.119
B5	c0927	0.592
B5	c1021	1.358
B5	c1024	0.092
B5	c1025	1.892
B5	c1026	1.869
B5	c1027	0.125
B5	c1101	1.358
B5	c1318	1.319
B5	c1501	1.358
B5	c1504	1.825
B5	c1606	1.788
B5	c1610	1.344
B5	c1623	2.192
B5	c1625	1.992
B5	c1641	1.469
B5	c1647	1.419
B5	c1712	3.458
B5	c1718	1.325
B5	c1805	1.125
B5	c1807	1.725
B5	c1808	2.094
B5	c1809	1.619
B5	c1901	3.088
B5	c1923	1.425
B5	c1931	1.158
B5	c2003	2.158
B5	c2004	1.392
B5	c2006	1.669
B5	c2007	2.092
B5	c2401	2.919
B5	c2402	2.925
B5	c2403	0.892
B5	c2404	1.325
B5	c2405	2.092
B5	c2406	2.492
B5	c2407	1.925
B5	c2408	1.558
B5	c2410	1.325
B5	c2411	1.688
B5	c2412	2.058
B5	c2413	1.425
B5	c2414	0.692
B5	c2415	1.558
B5	c2416	1.869
B5	c2417	1.419
B5	c2418	1.044
B5	c2419	1.144
B5	c2420	1.744
B5	c2421	2.069
B5	c2501	0.594
B5	c2502	1.894
B5	c2503	0.558
B5	c2504	0.658
B5	c2505	0.925
B5	c2506	0.344
B5	c2507	0.644
B5	c2508	0.492
B5	c2509	0.525
B5	c2510	0.844
B5	c2511	0.958
B5	c2512	0.725
B5	c2513	0.744
B5	c2514	0.525
B5	c2515	0.769
B5	c2516	0.688
B5	c2517	0.894
B5	c2518	1.758
B5	c2519	0.494
B5	c2520	0.688
B5	c3113	1.992
B5	c3115	1.592
B5	c3118	1.425
B5	c3232	0.925
B5	c3242	0.792
B5	c3329	1.392
B5	c3330	1.058
B5	c3412	1.944
B5	c3422	1.469
B5	c3506	0.958
B5	c3507	0.992
B5	c3608	0.994
B5	c3611	2.225
B5	c3622	1.019
B5	c3810	1.992
B5	c3811	2.625
B5	c3817	1.725
B5	c3826	2.644
B5	c3829	2.792
B5	c3912	1.569
B5	c3932	1.369
B5	c3975	1.358
B5	c3982	1.325
B5	c4058	1.758
B5	c4071	1.719
B5	c4101	0.492
B5	c4102	1.058
B5	c4104	1.819
B5	c4105	1.625
B5	c4106	3.392
B5	c4107	1.069
B5	c4108	0.969
B5	c4109	1.325
B5	c4124	2.158
B5	c4204	1.192
B5	c4209	1.344
B5	c4215	1.492
B5	c4217	2.075
B5	c4220	2.388
B5	c4227	2.419
B5	c4231	2.792
B5	c4236	1.819
B5	c4301	0.644
B5	c4302	1.092
B5	c4303	0.525
B5	c4304	0.644
B5	c4305	0.869
B5	c4306	0.644
B5	c4401	0.569
B5	c4402	0.525
B5	c4403	1.044
B5	c4404	0.658
B5	c4405	0.644
B5	c4406	1.525
B5	c4502	1.892
B5	c4503	0.969
B5	c4504	0.858
B5	c4505	0.458
B5	c4506	0.719
B5	c4601	1.394
B5	c4602	1.292
B5	c4603	0.858
B5	c4604	1.538
B5	c4605	1.744
B5	c4606	1.292
B5	c4701	1.292
B5	c4702	0.992
B5	c4703	0.369
B5	c4704	0.994
B5	c4705	0.525
B5	c4706	0.925
B5	c4707	0.644
B5	c5001	2.592
B5	c5101	0.858
B5	c5102	1.058
B5	c5103	0.688
B5	c5104	1.169
B5	c5105	1.144
B5	c5106	0.444
B5	c5107	1.944
B5	c5108	0.692
B5	c5109	1.225
B5	c5110	0.658
B5	c5111	0.638
B5	c5112	0.538
B5	c5113	0.794
B5	c5114	0.988
B5	c5201	1.438
B5	c5202	1.088
B5	c5203	1.858
B5	c5204	2.275
B5	c5205	1.492
B5	c5206	1.125
B5	c5207	0.694
B5	c5208	1.319
B5	c5209	0.294
B5	c5210	1.64
B5	c5211	1.53
B5	c5212	1.592
B5	c5213	1.725
B5	c5214	0.992
B5	c5215	1.844
B5	c5216	1.125
B5	c5217	0.519
B5	c5218	1.058
B5	c5219	1.558
B5	c5220	0.569
B5	c5315	1.192
B5	c5316	0.394
B5	c5317	1.025
B5	c5318	0.425
B5	c5319	0.519
B5	c5320	1.092
B5	c5401	2.419
B5	c5403	1.894
B5	c5410	1.244
B5	c5411	1.125
B5	c5417	2.258
